family,replicate,map_seed,blend,correct_score,accuracy,mean_margin
spectrum_matched,11,20261922,projection,114,0.475,-0.0101783719049
spectrum_matched,12,20261923,hybrid50,96,0.4,-0.0397090982483
spectrum_matched,12,20261923,projection,94,0.391666666667,-0.0676696389252
spectrum_matched,13,20261924,hybrid50,109,0.454166666667,-0.0193234485806
spectrum_matched,13,20261924,projection,111,0.4625,-0.0268983395899
spectrum_matched,14,20261925,hybrid50,114,0.475,-0.0189117180625
spectrum_matched,14,20261925,projection,107,0.445833333333,-0.0260748785536
spectrum_matched,15,20261926,hybrid50,99,0.4125,-0.0233178249912
spectrum_matched,15,20261926,projection,103,0.429166666667,-0.034887092411
spectrum_matched,16,20261927,hybrid50,103,0.429166666667,-0.0239661373692
spectrum_matched,16,20261927,projection,112,0.466666666667,-0.036183717167
spectrum_matched,17,20261928,hybrid50,109,0.454166666667,-0.0158545904424
spectrum_matched,17,20261928,projection,114,0.475,-0.0199606233134
spectrum_matched,18,20261929,hybrid50,108,0.45,-0.0170288691542
spectrum_matched,18,20261929,projection,108,0.45,-0.022309180737
spectrum_matched,19,20261930,hybrid50,108,0.45,-0.0229304210661
spectrum_matched,19,20261930,projection,107,0.445833333333,-0.0341122845609
spectrum_matched,20,20261931,hybrid50,111,0.4625,-0.0132907780518
spectrum_matched,20,20261931,projection,114,0.475,-0.0148329985323
spectrum_matched,21,20261932,hybrid50,104,0.433333333333,-0.0218921518628
spectrum_matched,21,20261932,projection,103,0.429166666667,-0.0320357461543
spectrum_matched,22,20261933,hybrid50,112,0.466666666667,-0.0132709680251
spectrum_matched,22,20261933,projection,109,0.454166666667,-0.0147933784788
spectrum_matched,23,20261934,hybrid50,119,0.495833333333,-0.00711006518271
spectrum_matched,23,20261934,projection,118,0.491666666667,-0.00247157279403
spectrum_matched,24,20261935,hybrid50,109,0.454166666667,-0.0229775976279
spectrum_matched,24,20261935,projection,103,0.429166666667,-0.0342066376845
spectrum_matched,25,20261936,hybrid50,123,0.5125,-0.00673959286988
spectrum_matched,25,20261936,projection,129,0.5375,-0.00173062816838
spectrum_matched,26,20261937,hybrid50,116,0.483333333333,-0.0166180524767
spectrum_matched,26,20261937,projection,113,0.470833333333,-0.021487547382
spectrum_matched,27,20261938,hybrid50,110,0.458333333333,-0.00970414030101
spectrum_matched,27,20261938,projection,115,0.479166666667,-0.00765972303065
spectrum_matched,28,20261939,hybrid50,100,0.416666666667,-0.0306065875392
spectrum_matched,28,20261939,projection,96,0.4,-0.0494646175071
spectrum_matched,29,20261940,hybrid50,124,0.516666666667,0.0019826238203
spectrum_matched,29,20261940,projection,130,0.541666666667,0.015713805212
