id,d_same_conflict,d_same_topic,margin,score,family,replicate,map_seed,blend
e375642,0.803583052928,0.686465450132,-0.117117602795,0,gaussian,0,20260911,projection
e377040,0.898291341614,0.607411964659,-0.290879376955,0,gaussian,0,20260911,projection
e382692,0.818523166484,0.627875494986,-0.190647671498,0,gaussian,0,20260911,projection
e385608,0.545642191608,0.700193600946,0.154551409337,1,gaussian,0,20260911,projection
e393194,0.61241438452,0.628179925752,0.0157655412328,1,gaussian,0,20260911,projection
e393464,0.632319080854,0.639041520633,0.00672243977958,1,gaussian,0,20260911,projection
e400162,0.558585387269,0.648632017452,0.090046630183,1,gaussian,0,20260911,projection
e402556,0.554894993512,0.905323268441,0.350428274928,1,gaussian,0,20260911,projection
e406118,0.845153509273,0.826453709502,-0.0186997997713,0,gaussian,0,20260911,projection
e408018,0.653494540458,0.627168504408,-0.02632603605,0,gaussian,0,20260911,projection
e409792,0.796998991024,0.391116245013,-0.405882746011,0,gaussian,0,20260911,projection
e411947,0.748610131622,0.729924512723,-0.0186856188993,0,gaussian,0,20260911,projection
e429520,0.672249564313,0.743507730191,0.0712581658783,1,gaussian,0,20260911,projection
e433119,0.730633098482,0.843104243995,0.112471145513,1,gaussian,0,20260911,projection
e433270,0.458620535396,0.648481899877,0.189861364481,1,gaussian,0,20260911,projection
e437483,0.588497015164,0.517207434942,-0.0712895802226,0,gaussian,0,20260911,projection
e438502,0.629535128898,0.587311094804,-0.0422240340947,0,gaussian,0,20260911,projection
e441087,0.683382136671,0.657446026871,-0.0259361097996,0,gaussian,0,20260911,projection
e444577,0.663895442278,0.672080088322,0.00818464604351,1,gaussian,0,20260911,projection
e444915,0.655292143055,0.751099385194,0.0958072421396,1,gaussian,0,20260911,projection
e445571,0.565002848673,0.620186570986,0.0551837223132,1,gaussian,0,20260911,projection
e449534,0.784092685096,0.493340086103,-0.290752598993,0,gaussian,0,20260911,projection
e451329,0.709658795529,0.615976113944,-0.0936826815849,0,gaussian,0,20260911,projection
e460139,0.519411630789,0.700807784059,0.18139615327,1,gaussian,0,20260911,projection
e463179,0.598157529742,0.727477384989,0.129319855247,1,gaussian,0,20260911,projection
e464045,0.713081080624,0.600543547958,-0.112537532666,0,gaussian,0,20260911,projection
e470271,0.680543064989,0.579665604318,-0.100877460671,0,gaussian,0,20260911,projection
e472464,0.638691443719,0.599679278183,-0.0390121655364,0,gaussian,0,20260911,projection
e478161,0.331770569104,0.524660563908,0.192889994805,1,gaussian,0,20260911,projection
e478188,0.832462549455,0.558160811902,-0.274301737553,0,gaussian,0,20260911,projection
e478381,0.499542678802,0.717859834951,0.21831715615,1,gaussian,0,20260911,projection
e479745,0.822775841957,0.528782727361,-0.293993114596,0,gaussian,0,20260911,projection
e480131,0.61136618094,0.575527007078,-0.0358391738619,0,gaussian,0,20260911,projection
e491714,0.723854267911,0.630096082883,-0.0937581850279,0,gaussian,0,20260911,projection
e492437,0.826693509131,0.557912436569,-0.268781072563,0,gaussian,0,20260911,projection
e495461,0.606159352327,0.674416131986,0.0682567796592,1,gaussian,0,20260911,projection
e497456,0.65944728026,0.505817701114,-0.153629579146,0,gaussian,0,20260911,projection
